order_id,customer_id,customer_name,customer_email,order_date,product_id,product_name,quantity,unit_price,order_status,country
10001,C001,John Smith,john@example.com,2026-01-01,P1001,Laptop,1,750.0,PENDING,USA
10002,C002,Priya Sharma,priya.sharma@example.com,2026-01-02,P1002,Wireless Mouse,2,26.0,COMPLETED,India
10003,C003,Carlos Rivera,carlos.rivera@example.com,2026-01-03,P1003,USB-C Hub,3,40.99,CANCELLED,UK
10004,C004,Amina Hassan,amina.hassan@example.com,2026-01-04,P1004,Monitor,4,220.0,RETURNED,Germany
10005,C005,Wei Chen,wei.chen@example.com,2026-01-05,P1005,Keyboard,5,45.5,PENDING,Canada
10006,C006,Emma Wilson,emma.wilson@example.com,2026-01-06,P1006,Webcam,1,60.99,COMPLETED,Australia
10007,C007,Noah Patel,noah.patel@example.com,2026-01-07,P1007,Headphones,2,89.0,CANCELLED,Japan
10008,C008,Sofia Rossi,sofia.rossi@example.com,2026-01-08,P1008,Desk Chair,3,175.5,RETURNED,Brazil
10009,C009,Liam O'Brien,liam.obrien@example.com,2026-01-09,P1001,Laptop,4,751.0,PENDING,USA
10010,C010,Yuki Tanaka,yuki.tanaka@example.com,2026-01-10,P1002,Wireless Mouse,5,25.5,COMPLETED,India
10011,C011,Maria Santos,maria.santos@example.com,2026-01-11,P1003,USB-C Hub,1,40.49,CANCELLED,UK
10012,C012,Omar Farouk,omar.farouk@example.com,2026-01-12,P1004,Monitor,2,221.0,RETURNED,Germany
10013,C001,John Smith,john@example.com,2026-01-13,P1005,Keyboard,3,45.0,PENDING,Canada
10014,C002,Priya Sharma,priya.sharma@example.com,2026-01-14,P1006,Webcam,4,60.49,COMPLETED,Australia
10015,C003,Carlos Rivera,carlos.rivera@example.com,2026-01-15,P1007,Headphones,5,90.0,CANCELLED,Japan
10016,C004,Amina Hassan,amina.hassan@example.com,2026-01-16,P1008,Desk Chair,1,175.0,RETURNED,Brazil
10017,C005,Wei Chen,wei.chen@example.com,2026-01-17,P1001,Laptop,2,750.5,PENDING,USA
10018,C006,Emma Wilson,emma.wilson@example.com,2026-01-18,P1002,Wireless Mouse,3,26.5,COMPLETED,India
10019,C007,Noah Patel,noah.patel@example.com,2026-01-19,P1003,USB-C Hub,4,39.99,CANCELLED,UK
10020,C008,Sofia Rossi,sofia.rossi@example.com,2026-01-20,P1004,Monitor,5,220.5,RETURNED,Germany
10021,C009,Liam O'Brien,liam.obrien@example.com,2026-01-21,P1005,Keyboard,1,46.0,PENDING,Canada
10022,C010,Yuki Tanaka,yuki.tanaka@example.com,2026-01-22,P1006,Webcam,2,59.99,COMPLETED,Australia
10023,C011,Maria Santos,maria.santos@example.com,2026-01-23,P1007,Headphones,3,89.5,CANCELLED,Japan
10024,C012,Omar Farouk,omar.farouk@example.com,2026-01-24,P1008,Desk Chair,4,176.0,RETURNED,Brazil
10025,C001,John Smith,john@example.com,2026-01-25,P1001,Laptop,5,750.0,PENDING,USA
10026,C002,Priya Sharma,priya.sharma@example.com,2026-01-26,P1002,Wireless Mouse,1,26.0,COMPLETED,India
10027,C003,Carlos Rivera,carlos.rivera@example.com,2026-01-27,P1003,USB-C Hub,2,40.99,CANCELLED,UK
10028,C004,Amina Hassan,amina.hassan@example.com,2026-01-28,P1004,Monitor,3,220.0,RETURNED,Germany
10029,C005,Wei Chen,wei.chen@example.com,2026-01-29,P1005,Keyboard,4,45.5,PENDING,Canada
10030,C006,Emma Wilson,emma.wilson@example.com,2026-01-30,P1006,Webcam,5,60.99,COMPLETED,Australia
10031,C007,Noah Patel,noah.patel@example.com,2026-01-31,P1007,Headphones,1,89.0,CANCELLED,Japan
10032,C008,Sofia Rossi,sofia.rossi@example.com,2026-02-01,P1008,Desk Chair,2,175.5,RETURNED,Brazil
10033,C009,Liam O'Brien,liam.obrien@example.com,2026-02-02,P1001,Laptop,3,751.0,PENDING,USA
